age,breakdown_count,repair_cost,downtime_hours,risk_level
1,4,13695,12,Low
3,2,10409,15,Low
6,9,981,18,Medium
13,3,12959,61,High
16,11,4827,20,High
9,1,22647,56,High
9,3,24903,52,High
5,14,10995,41,High
10,7,5478,64,High
6,15,9984,43,High
11,11,3886,20,High
18,14,25136,50,High
15,0,16747,10,Low
5,5,12171,24,Low
7,8,3915,6,Medium
2,0,17557,71,High
1,14,2706,46,High
1,11,10215,65,High
15,7,12894,52,High
10,4,19595,41,Medium
12,14,25856,76,High
6,12,28761,27,High
7,1,5695,60,High
16,13,9142,66,High
15,11,15419,76,High
5,8,28169,6,High
19,3,1149,71,High
10,10,10797,65,High
13,7,3791,37,Medium
18,1,18911,14,Low
7,14,26559,9,High
9,8,27760,69,High
10,8,5066,52,High
6,13,3550,49,High
18,10,17163,58,High
14,11,8338,66,High
17,6,6381,67,High
9,2,26551,40,High
16,2,10264,57,High
8,4,22023,71,High
7,14,9290,57,High
16,12,6087,11,High
6,13,13505,16,High
8,7,23775,22,High
15,9,20006,10,High
16,7,16049,42,Medium
2,2,28573,73,High
14,10,18021,71,High
5,7,29080,72,High
8,15,27698,60,High
1,15,19737,63,High
2,8,10765,12,Medium
20,12,20256,20,High
2,0,11395,14,Low
4,0,24008,19,High
9,5,13130,25,Low
3,1,29191,68,High
5,13,3898,36,High
11,10,16812,18,Medium
2,0,7213,41,Medium
10,1,2300,45,Medium
14,11,2122,75,High
19,15,11963,6,High
16,6,19679,79,High
2,1,27732,42,High
16,15,9294,60,High
17,2,20368,38,High
11,0,17068,6,Low
4,3,22902,64,High
12,7,22521,63,High
9,9,1995,6,Medium
17,1,11060,26,Medium
8,6,26037,50,High
11,15,12517,47,High
3,9,4487,47,Medium
4,3,2563,27,Medium
4,10,19194,55,High
18,6,15188,4,Medium
15,3,20942,8,High
11,0,16001,53,High
9,4,2510,17,Low
16,7,8830,39,Medium
1,9,27185,61,High
1,14,1050,61,High
16,1,27254,40,High
13,4,26597,30,High
2,3,25353,68,High
12,6,13180,67,High
6,4,6757,63,High
1,11,6951,42,High
14,10,25594,24,High
14,9,23163,67,High
12,6,11417,54,High
14,2,18649,53,High
9,2,4216,17,Low
17,2,20413,29,High
18,13,6396,45,High
12,1,25205,36,High
11,14,17355,37,High
3,8,25218,3,High
5,0,9879,32,Medium
18,15,24959,11,High
19,1,7473,48,Medium
10,9,17411,69,High
9,11,19635,49,High
18,15,23139,38,High
15,12,7832,24,High
11,0,11956,52,High
17,5,20787,40,High
12,8,15161,39,Medium
14,14,3923,61,High
17,13,24465,7,High
13,14,2047,4,High
16,2,14933,34,Medium
11,9,28891,2,High
7,2,22038,48,High
12,0,9184,40,Medium
18,14,5290,65,High
10,10,13817,7,Medium
8,5,24219,42,High
16,5,5921,80,High
11,8,18463,10,Medium
8,7,6816,51,High
11,11,15736,69,High
9,6,29555,4,High
18,8,15792,44,Medium
18,3,23898,47,High
6,13,22820,27,High
1,4,29440,62,High
14,8,25516,17,High
20,6,5393,6,Medium
6,9,21791,36,High
15,6,18292,74,High
13,7,7341,80,High
4,2,10189,32,Medium
20,12,9258,42,High
10,11,12996,21,High
8,8,15970,14,Medium
17,14,18841,61,High
8,10,18591,58,High
1,5,13000,42,Medium
9,5,1700,41,Medium
2,8,28543,28,High
20,13,27473,71,High
12,2,25350,23,High
13,4,29329,3,High
4,3,15073,70,High
7,15,2153,21,High
2,15,12735,35,High
1,0,4865,7,Low
8,0,1299,49,Medium
13,7,14177,38,Medium
16,9,3420,4,Medium
18,13,4124,29,High
2,6,25577,47,High
5,11,19907,25,High
17,6,1467,50,Medium
14,7,19994,17,Medium
6,0,17815,48,Medium
15,8,14359,30,Medium
14,11,9827,14,High
19,1,29346,71,High
20,11,12909,75,High
8,13,10307,17,High
12,7,28987,23,High
12,0,27543,4,High
1,7,28766,18,High
2,7,22560,70,High
14,12,21984,17,High
6,1,11851,77,High
18,15,4870,34,High
1,12,24870,3,High
5,5,864,37,Medium
7,1,2015,9,Low
15,8,1684,67,High
4,4,20639,58,High
16,14,23108,50,High
4,1,4158,66,High
3,1,12138,4,Low
12,8,13999,74,High
19,14,12260,38,High
8,7,15177,65,High
10,14,19154,29,High
14,1,19742,75,High
6,1,7908,6,Low
7,9,19174,73,High
4,1,21259,65,High
18,4,21382,49,High
3,3,6096,23,Low
6,10,6006,19,Medium
20,4,16678,21,Low
15,15,13185,56,High
16,14,16406,57,High
18,14,29932,62,High
6,5,13056,71,High
18,13,17025,49,High
4,11,10591,41,High
3,11,7616,25,High
13,5,24353,51,High
4,14,21370,25,High
10,9,21784,45,High
7,15,3317,2,High
3,15,29439,7,High
1,0,18884,16,Low
4,11,19179,38,High
14,15,25676,2,High
18,3,13645,2,Low
20,8,14812,71,High
13,12,7143,63,High
17,7,16943,58,High
11,5,20325,28,High
7,6,27675,21,High
11,4,16524,52,High
8,15,5065,6,High
18,2,18293,14,Low
5,10,8860,56,High
7,1,9500,36,Medium
13,9,17721,62,High
11,0,12501,8,Low
11,11,22756,70,High
14,13,23468,24,High
7,15,27531,19,High
15,0,7836,66,High
10,5,4599,25,Low
18,0,25511,42,High
4,2,14043,60,High
2,4,18768,1,Low
10,0,24622,68,High
5,3,21987,3,High
15,13,8068,20,High
19,1,26657,33,High
17,13,24512,43,High
12,12,21295,24,High
20,14,14784,67,High
9,12,7444,55,High
9,7,8137,10,Medium
15,12,15779,14,High
8,0,10928,70,High
9,15,20924,4,High
11,14,2068,70,High
15,14,19693,34,High
3,12,22630,4,High
16,13,29886,57,High
11,11,1905,7,High
15,4,12931,19,Low
18,0,25440,45,High
12,12,21670,29,High
6,11,28744,34,High
19,9,15792,25,Medium
8,11,6020,27,High
6,0,11470,45,Medium
17,8,13962,17,Medium
6,15,2084,38,High
13,6,19865,27,Medium
7,12,15079,30,High
7,15,19581,3,High
15,0,12846,17,Low
6,7,6275,68,High
13,14,28453,62,High
5,15,4608,13,High
18,0,22147,13,High
11,5,21322,16,High
5,1,8201,49,Medium
9,9,3023,38,Medium
17,11,5021,1,High
7,9,28663,39,High
20,4,4383,19,Low
9,11,19939,33,High
9,8,8307,45,Medium
7,5,20179,68,High
11,12,25383,39,High
10,8,26053,16,High
17,9,16491,54,High
2,1,18115,17,Low
2,4,23209,40,High
7,4,2383,48,Medium
15,5,26795,57,High
14,7,13801,10,Medium
14,11,27358,13,High
14,15,21932,1,High
9,1,11215,33,Medium
20,9,5069,50,Medium
5,0,1216,3,Low
8,1,18854,69,High
11,12,1757,70,High
14,0,29191,13,High
2,2,15412,64,High
17,5,22786,66,High
5,4,7928,1,Low
7,10,16628,40,Medium
14,12,23607,51,High
19,8,5952,64,High
12,7,8770,80,High
14,11,3725,68,High
10,7,18866,32,Medium
2,9,10532,3,Medium
14,2,26384,66,High
2,10,1168,23,Medium
17,14,21312,75,High
10,2,8284,74,High
8,5,15032,60,High
10,5,5504,63,High
1,11,12936,16,High
9,2,23071,67,High
2,7,4326,44,Medium
1,4,11937,63,High
8,7,13480,80,High
1,2,5713,31,Medium
4,9,12472,75,High
2,14,19787,5,High
19,2,10726,17,Low
2,11,16006,1,High
11,6,11289,12,Medium
3,10,3045,45,Medium
8,4,29918,1,High
17,2,22871,64,High
8,4,2042,46,Medium
7,4,12420,6,Low
1,11,19204,3,High
16,1,11473,48,Medium
1,10,11362,43,Medium
6,2,10766,30,Medium
1,2,2509,60,High
19,7,6694,15,Medium
8,10,16230,67,High
2,8,24882,69,High
15,3,9896,76,High
7,10,20152,39,High
2,14,28731,60,High
20,1,11772,4,Low
19,8,18646,36,Medium
4,14,6151,16,High
4,4,16036,21,Low
17,5,15380,59,High
11,6,29620,11,High
6,15,20893,63,High
3,2,16733,1,Low
8,0,12435,1,Low
3,8,3120,67,High
12,13,17085,2,High
4,1,8821,17,Low
16,11,18165,60,High
13,1,7100,78,High
14,10,13583,15,Medium
17,1,11903,7,Low
13,14,18221,39,High
10,9,25332,7,High
6,0,3354,19,Low
15,8,722,37,Medium
5,2,5648,15,Low
6,7,5773,64,High
20,15,8179,29,High
9,9,3803,54,High
17,11,10271,21,High
13,10,16682,23,Medium
3,0,7643,48,Medium
6,6,4877,10,Medium
11,12,20189,28,High
19,14,4397,24,High
4,13,5434,55,High
2,0,13456,13,Low
7,0,26442,15,High
19,7,27140,24,High
1,13,23154,57,High
15,11,13757,69,High
7,4,4931,63,High
20,1,2666,67,High
12,3,5229,52,High
12,14,22706,8,High
15,5,15017,13,Low
1,4,14070,53,High
4,3,24600,56,High
3,5,28294,5,High
10,5,3387,70,High
7,13,9999,26,High
5,13,15612,19,High
8,1,6260,11,Low
20,11,11890,18,High
14,7,2450,13,Medium
15,2,18082,48,Medium
10,11,25113,14,High
12,8,28803,45,High
1,7,26741,28,High
13,1,25764,25,High
6,13,23874,61,High
19,6,856,30,Medium
12,2,7841,11,Low
6,15,9643,68,High
19,0,11278,78,High
1,14,29700,22,High
10,5,17705,43,Medium
20,8,3142,35,Medium
19,14,28453,51,High
9,15,9183,35,High
16,2,17124,6,Low
14,14,1583,50,High
11,5,4886,68,High
4,12,7551,43,High
6,0,25691,20,High
7,8,22613,36,High
18,8,21219,17,High
3,10,15732,57,High
7,11,9611,59,High
1,2,28833,49,High
11,10,17251,48,Medium
6,6,2487,1,Medium
12,2,24588,6,High
1,3,4819,3,Low
2,10,3618,28,Medium
2,4,5961,21,Low
5,5,26639,48,High
3,5,29840,11,High
14,9,2136,29,Medium
1,8,26878,55,High
6,1,22735,6,High
18,1,6709,24,Low
7,13,13376,18,High
19,8,29496,20,High
6,13,25785,29,High
2,7,4453,67,High
13,12,14006,56,High
20,5,26987,60,High
11,12,8894,21,High
18,10,16335,55,High
12,1,29202,19,High
1,12,20941,16,High
1,7,19920,31,Medium
15,0,16305,28,Medium
20,8,29042,70,High
8,4,3388,54,High
10,14,16570,18,High
1,13,20990,38,High
19,12,26861,28,High
11,7,6546,80,High
16,9,18736,33,Medium
13,3,28765,18,High
13,14,8985,7,High
13,14,21742,63,High
2,3,2193,7,Low
13,9,9619,73,High
14,8,5252,66,High
9,15,9129,74,High
16,13,19729,59,High
14,8,25023,47,High
17,15,29629,79,High
1,12,22045,80,High
9,13,15364,77,High
17,9,27737,1,High
2,6,10646,40,Medium
16,4,5791,15,Low
14,13,16338,14,High
5,7,23151,22,High
3,4,24859,17,High
14,12,10701,80,High
2,7,26441,36,High
15,3,21531,29,High
2,12,15035,73,High
14,9,16553,27,Medium
5,12,22790,44,High
11,8,22257,33,High
20,13,29159,75,High
13,10,8732,46,Medium
5,15,25920,77,High
7,10,21508,33,High
3,9,17863,76,High
9,7,2471,37,Medium
16,11,15978,71,High
16,5,6254,11,Low
11,6,3592,16,Medium
16,0,17044,51,High
18,8,23631,13,High
12,10,9953,8,Medium
11,4,28939,76,High
2,10,11363,46,Medium
13,0,26411,41,High
4,13,19705,16,High
16,8,11150,51,High
19,5,21872,54,High
5,1,15108,26,Medium
3,1,11495,72,High
16,3,15611,70,High
9,11,29869,57,High
9,14,19571,73,High
4,4,19153,56,High
5,11,15392,31,High
18,11,8737,78,High
10,11,1437,2,High
5,8,27690,69,High
1,6,8721,76,High
10,11,16779,80,High
18,9,20762,46,High
17,1,24459,57,High
14,1,10758,19,Low
20,1,1207,5,Low
7,13,15556,65,High
12,15,5957,56,High
11,15,2357,65,High
18,10,13733,8,Medium
8,13,25509,22,High
7,9,27703,47,High
16,1,21073,64,High
1,0,29385,76,High
17,11,705,30,High
15,6,2998,50,Medium
16,13,5406,11,High
1,6,6972,47,Medium
13,2,12132,68,High
14,11,11858,44,High
8,13,25077,42,High
2,13,20202,61,High
13,1,26979,24,High
15,5,29254,21,High
10,4,19993,33,Medium
17,11,17932,41,High
4,13,16743,5,High
8,8,18635,50,Medium
19,8,8547,55,High
10,12,12480,59,High
15,14,12304,33,High
14,6,28968,62,High
11,6,21197,9,High
15,11,15501,41,High
3,8,10522,25,Medium
20,12,6817,13,High
2,8,29556,80,High
4,3,9460,55,High
15,10,14002,71,High
5,12,15017,21,High
16,5,13943,7,Low
18,6,28606,62,High
3,8,19809,7,Medium
4,6,8841,46,Medium
12,5,18435,28,Medium
13,6,18537,13,Medium
16,14,10861,68,High
9,2,18507,67,High
3,0,25688,71,High
8,9,27937,25,High
15,4,22981,64,High
18,5,1873,30,Medium
18,7,18745,38,Medium
15,11,21882,31,High
15,9,29293,73,High
13,3,3900,43,Medium
10,3,28750,53,High
12,2,19166,11,Low
7,10,10637,46,Medium
5,13,16888,72,High
14,12,4376,62,High
9,4,1188,27,Medium
3,0,9022,75,High
4,1,17771,19,Low
1,2,25217,60,High
16,8,17903,7,Medium
6,9,14467,74,High
3,2,17804,20,Low
4,9,12572,36,Medium
7,0,3565,37,Medium
19,3,15562,43,Medium
5,6,5684,8,Medium
18,8,12213,74,High
3,1,6056,49,Medium
18,10,7591,54,High
2,15,12072,61,High
5,9,19904,47,Medium
14,0,709,55,High
14,14,10652,36,High
11,4,2159,14,Low
16,7,5001,5,Medium
20,7,23771,60,High
13,4,10342,51,High
1,6,17872,8,Medium
7,0,14371,64,High
2,1,22738,32,High
11,13,10073,47,High
1,11,6045,46,High
3,1,27885,47,High
15,0,7879,79,High
12,2,3764,59,High
2,10,27607,6,High
20,14,9241,80,High
7,5,22918,64,High
3,4,26824,54,High
8,6,18334,73,High
3,1,26075,25,High
9,12,20383,71,High
13,6,26179,50,High
6,11,6105,20,High
8,5,17231,33,Medium
11,10,3750,15,Medium
3,15,9764,41,High
11,7,20837,59,High
10,15,4101,27,High
17,8,21390,72,High
3,1,29902,5,High
4,5,9632,36,Medium
13,15,5350,36,High
17,8,3162,57,High
19,11,29268,80,High
10,10,7288,62,High
14,10,1051,38,Medium
2,6,24685,36,High
12,1,2963,74,High
9,5,17872,38,Medium
16,13,17602,76,High
9,13,20624,22,High
11,4,7491,25,Low
17,12,14459,22,High
10,11,26561,37,High
14,8,20953,22,High
6,6,28725,41,High
10,12,2231,52,High
2,11,8337,69,High
14,2,15993,42,Medium
9,3,2656,60,High
15,10,7458,34,Medium
9,4,28268,38,High
9,9,13990,21,Medium
7,4,13654,23,Low
5,15,26735,37,High
11,8,22404,23,High
15,3,27188,79,High
10,8,16715,48,Medium
15,0,21482,56,High
8,12,15601,71,High
3,10,2938,64,High
4,14,13354,66,High
13,5,9981,61,High
6,14,17666,48,High
2,15,16951,73,High
6,10,19822,26,Medium
19,8,1807,38,Medium
11,5,9340,19,Low
3,4,20980,54,High
17,5,18731,19,Low
18,13,11310,54,High
16,3,1193,43,Medium
1,3,7190,33,Medium
14,2,8036,8,Low
10,0,26385,62,High
3,15,8595,43,High
10,2,6794,75,High
1,12,20395,52,High
13,6,13706,69,High
4,7,8214,14,Medium
3,14,25360,11,High
7,2,13639,80,High
8,12,6013,23,High
7,5,24498,53,High
6,14,1081,73,High
5,11,16990,72,High
8,9,15507,45,Medium
10,10,21698,52,High
11,0,21666,29,High
12,8,7878,60,High
12,7,24961,28,High
17,10,17683,20,Medium
18,11,12511,58,High
10,13,18713,20,High
18,9,26585,61,High
9,10,24486,6,High
13,6,5862,5,Medium
20,9,9285,64,High
15,5,21459,33,High
18,13,8654,28,High
12,13,28928,11,High
11,7,6156,27,Medium
10,11,9646,33,High
12,3,29605,77,High
3,12,25061,21,High
20,1,9234,50,Medium
5,11,16874,21,High
4,15,23016,64,High
6,2,2789,31,Medium
4,6,13200,47,Medium
7,8,26585,38,High
13,8,3921,78,High
10,4,5011,43,Medium
16,6,1110,28,Medium
8,6,25290,28,High
8,15,12111,49,High
3,12,15715,71,High
7,3,28701,45,High
2,12,12434,63,High
2,13,3506,24,High
11,14,14643,76,High
5,2,9766,50,Medium
7,4,5446,12,Low
5,0,29703,21,High
6,12,15519,30,High
8,3,19820,2,Low
6,11,14439,36,High
20,12,5810,35,High
2,14,19188,22,High
11,5,21845,72,High
4,6,19530,33,Medium
7,11,26080,16,High
7,11,12143,13,High
10,8,2616,45,Medium
14,12,1753,66,High
1,3,15226,15,Low
3,8,4005,61,High
8,10,12463,49,Medium
17,8,5262,35,Medium
8,5,19073,77,High
2,9,14883,70,High
14,14,2441,2,High
15,6,4733,5,Medium
18,9,15617,68,High
10,0,20473,33,High
18,6,16157,76,High
2,2,26925,42,High
13,12,7649,38,High
1,3,18214,51,High
8,8,12906,3,Medium
10,15,6782,19,High
19,10,27172,29,High
14,0,5644,18,Low
12,8,11524,68,High
1,2,10985,19,Low
3,6,29648,64,High
20,13,6203,74,High
9,8,27860,58,High
15,12,2320,15,High
19,9,19245,60,High
6,4,704,3,Low
9,14,6880,40,High
10,7,20034,23,High
6,9,14453,47,Medium
20,8,10982,64,High
10,0,29352,68,High
4,9,11288,11,Medium
13,7,5477,59,High
2,12,15725,18,High
16,0,21918,60,High
8,12,13114,69,High
18,2,24663,13,High
12,1,4618,46,Medium
17,8,29766,79,High
7,2,22891,71,High
8,6,26203,25,High
16,12,12771,56,High
18,15,3121,49,High
1,9,29353,3,High
5,9,8134,78,High
4,7,11946,69,High
2,5,17854,80,High
15,4,17494,66,High
1,6,20281,41,High
7,6,24066,16,High
3,8,3784,18,Medium
15,15,544,42,High
7,13,22336,10,High
15,5,22306,39,High
16,3,16385,30,Medium
20,5,20036,65,High
20,2,23499,7,High
7,11,28882,50,High
20,0,11923,72,High
3,12,2999,64,High
2,1,4314,68,High
20,11,21254,49,High
15,2,25000,50,High
13,8,7285,6,Medium
14,15,2497,2,High
9,1,29714,3,High
6,15,9821,48,High
6,13,16557,33,High
20,6,8218,67,High
5,15,11865,62,High
10,3,20421,12,High
5,10,6923,1,Medium
2,6,11082,18,Medium
2,13,17629,17,High
7,14,3232,76,High
1,9,13804,22,Medium
12,15,16319,78,High
15,5,3249,58,High
12,4,501,62,High
20,7,3513,55,High
4,7,6350,13,Medium
18,14,14403,52,High
2,14,18091,5,High
2,0,24195,4,High
13,8,27831,55,High
15,5,1092,59,High
3,2,23482,66,High
15,9,4921,6,Medium
11,7,652,62,High
7,2,22562,1,High
6,0,25765,61,High
7,10,18145,70,High
11,10,1023,5,Medium
10,13,19570,29,High
4,6,1119,26,Medium
18,12,4159,37,High
19,13,2518,25,High
18,12,24926,36,High
10,8,14134,20,Medium
18,15,21024,24,High
6,0,6116,65,High
17,8,23559,32,High
7,5,15888,55,High
8,5,17164,31,Medium
11,10,5937,22,Medium
4,1,3430,64,High
20,12,23207,27,High
11,13,13686,7,High
18,7,5279,10,Medium
6,6,4033,44,Medium
5,8,5323,62,High
9,0,8415,66,High
14,3,8883,9,Low
14,11,11230,63,High
9,10,10801,3,Medium
10,15,26845,16,High
11,9,6821,37,Medium
17,6,7754,25,Medium
12,8,22921,36,High
12,4,4821,7,Low
5,0,708,30,Medium
7,4,14790,78,High
2,11,15294,69,High
3,15,25826,47,High
9,6,29388,68,High
18,10,13963,79,High
8,2,24944,76,High
2,10,19092,56,High
10,9,13341,57,High
8,11,16933,55,High
11,2,2450,56,High
8,2,29151,18,High
9,9,25758,2,High
15,14,2529,78,High
2,3,19214,68,High
2,8,25495,40,High
9,13,5818,58,High
3,3,19679,69,High
15,9,8779,45,Medium
9,7,28665,36,High
20,13,9015,3,High
10,7,5754,6,Medium
19,6,3155,80,High
18,6,4366,3,Medium
19,7,10696,50,Medium
4,0,4216,62,High
1,6,4652,38,Medium
13,0,16315,67,High
7,9,9553,76,High
20,13,17683,67,High
15,13,8611,10,High
16,1,29341,77,High
14,12,9867,13,High
8,9,24683,55,High
14,6,18657,62,High
18,7,8869,46,Medium
13,7,8504,11,Medium
5,2,12002,2,Low
9,12,10549,18,High
4,3,25389,53,High
4,1,4945,17,Low
10,10,2449,41,Medium
7,3,14041,47,Medium
15,0,17088,29,Medium
3,12,20414,20,High
7,1,29968,70,High
4,15,14943,31,High
12,1,2217,68,High
8,10,20010,63,High
8,9,14372,8,Medium
4,11,17907,60,High
15,12,5741,34,High
4,8,2810,28,Medium
2,4,8218,71,High
6,12,3658,13,High
1,1,23063,61,High
3,5,8475,37,Medium
11,3,26117,2,High
9,14,24804,79,High
13,12,17881,50,High
2,5,15159,26,Medium
14,13,2823,60,High
6,3,23627,14,High
5,8,27322,64,High
16,8,3741,52,High
10,3,11739,44,Medium
18,3,18878,70,High
19,15,9949,31,High
5,4,20104,33,High
6,6,23104,15,High
13,8,13802,56,High
9,14,4474,39,High
15,0,3739,18,Low
8,7,13221,2,Medium
20,10,14959,44,Medium
9,7,26474,78,High
10,11,27915,38,High
13,2,19180,63,High
12,5,3342,57,High
7,8,15871,19,Medium
10,14,28331,36,High
13,1,3241,68,High
16,4,18615,48,Medium
18,2,10058,45,Medium
9,15,28180,21,High
16,3,16490,19,Low
11,15,10755,26,High
16,9,3171,3,Medium
18,0,18044,58,High
4,0,23476,74,High
14,8,12206,72,High
19,15,17388,36,High
16,15,12155,48,High
18,9,20842,6,High
7,1,18222,58,High
10,8,8562,44,Medium
20,0,11035,25,Low
9,9,6042,33,Medium
18,1,24119,2,High
13,14,17067,14,High
14,15,29025,5,High
11,0,8193,22,Low
16,8,7607,70,High
7,5,7552,32,Medium
14,7,26620,38,High
11,13,23430,1,High
15,13,5235,56,High
9,11,11632,41,High
11,0,5134,53,High
1,2,29262,77,High
17,9,4870,9,Medium
2,1,25548,10,High
1,14,23630,68,High
19,6,3556,59,High
9,6,25384,53,High
1,7,14533,47,Medium
10,12,11012,65,High
4,15,13660,66,High
9,10,22114,30,High
15,0,25577,35,High
11,5,29529,12,High
5,9,28592,43,High
6,14,19267,56,High
14,0,28776,29,High
3,11,1704,57,High
11,11,1860,74,High
10,6,28512,40,High
20,13,20510,73,High
13,7,7627,80,High
16,1,17573,37,Medium
6,6,12336,73,High
10,15,5621,47,High
8,7,18180,69,High
14,8,26144,28,High
19,0,21951,5,High
2,14,812,57,High
4,11,15198,42,High
12,3,6956,65,High
20,10,9760,41,Medium
13,5,7852,29,Medium
10,6,8735,15,Medium
18,0,5473,34,Medium
16,10,24087,58,High
15,3,23181,5,High
9,11,3315,69,High
13,2,11961,18,Low
11,6,25728,51,High
14,13,21309,31,High
1,8,8041,16,Medium
15,1,13555,14,Low
10,5,4929,43,Medium
13,9,7916,37,Medium
1,11,24664,43,High
16,11,18383,33,High
11,5,18444,57,High
9,7,9351,64,High
7,0,25999,60,High
9,4,23538,39,High
15,5,6491,4,Low
11,15,18779,20,High
15,1,21330,43,High
20,8,1223,74,High
13,10,21207,64,High
10,7,9332,64,High
14,3,22799,35,High
2,12,28272,67,High
3,2,18513,24,Low
14,3,18624,27,Medium
17,10,18525,21,Medium
3,4,2062,33,Medium
9,12,10023,9,High
13,9,11298,76,High
10,12,25394,4,High
14,6,23063,50,High
15,5,22223,9,High
5,5,3792,2,Low
13,12,22363,46,High
13,3,11610,58,High
19,15,1763,52,High
4,9,16903,22,Medium
1,1,26040,38,High
8,12,20027,17,High
14,6,28333,35,High
11,5,16737,34,Medium
4,2,22115,62,High
10,5,18198,75,High
17,5,12527,44,Medium
12,9,27888,16,High
9,11,26073,39,High
14,5,29344,48,High
12,15,18779,51,High
20,8,23073,23,High
12,3,28087,44,High
9,12,15217,34,High
2,9,6823,38,Medium
17,7,10813,50,Medium
9,11,22982,64,High
9,1,29426,39,High
13,5,24618,56,High
4,5,8181,54,High
10,12,785,9,High
16,11,11976,75,High
9,6,12995,61,High
14,15,24948,20,High
7,1,19723,79,High
8,13,28530,76,High
2,7,25225,11,High
2,2,19058,42,Medium
16,2,14544,2,Low
16,8,24717,8,High
6,1,29112,31,High
9,12,11562,53,High
12,1,18117,80,High
18,6,5487,45,Medium
14,12,20022,80,High
19,13,18979,45,High
3,7,12532,78,High
16,1,26217,34,High
9,0,19025,1,Low
13,3,24886,53,High
15,15,5064,53,High
16,5,7894,5,Low
16,5,24310,72,High
6,7,22692,20,High
10,1,16751,60,High
12,2,3433,1,Low
14,7,25378,56,High
5,3,9554,36,Medium
17,15,27032,69,High
10,15,15694,58,High
15,14,21402,39,High
2,7,2775,48,Medium
11,4,1082,48,Medium
6,2,21250,67,High
14,3,2422,10,Low
3,3,7592,2,Low
18,6,15263,34,Medium
15,15,24785,54,High
12,1,23636,50,High
9,11,22892,14,High
7,12,19818,60,High
12,5,27022,20,High
4,3,8296,29,Medium
2,0,29234,74,High
5,15,907,13,High
4,6,27016,34,High
10,13,27869,54,High
9,7,26506,28,High
3,6,15009,21,Medium
14,10,11260,36,Medium
14,4,19544,47,Medium
3,3,23700,19,High
12,3,11187,43,Medium
8,12,24596,43,High
20,12,6623,64,High
12,11,13197,21,High
19,0,9262,57,High
16,14,23692,36,High
2,7,11589,41,Medium
15,8,28505,52,High
14,10,8826,76,High
13,13,12914,28,High
6,12,1101,67,High
15,9,19647,40,Medium
1,9,20544,40,High
18,6,29618,80,High
1,3,10736,50,Medium
15,4,13051,64,High
6,1,21475,11,High
20,12,6981,6,High
10,11,14398,59,High
18,10,26689,43,High
16,3,5789,76,High
18,4,5393,14,Low
2,2,6513,74,High
4,3,4788,29,Medium
1,9,29935,73,High
4,10,2467,11,Medium
9,7,14025,62,High
3,6,14429,76,High
15,0,14749,51,High
3,14,23368,59,High
16,12,19020,4,High
10,14,1158,38,High
1,0,20872,75,High
3,7,6498,14,Medium
2,0,13706,63,High
15,2,19419,19,Low
8,9,13680,45,Medium
9,14,21746,8,High
16,15,16752,12,High
15,7,12730,64,High
1,4,9288,15,Low
8,4,3448,75,High
20,11,20522,25,High
4,9,1630,17,Medium
15,7,1830,53,High
9,4,12629,12,Low
17,9,3371,57,High
2,4,16178,34,Medium
15,0,7135,6,Low
20,10,14080,78,High
12,8,16268,73,High
10,7,4818,21,Medium
19,2,20410,22,High
18,1,28219,40,High
7,9,15789,52,High
4,15,7146,36,High
10,6,10321,33,Medium
8,0,6353,77,High
15,6,19982,61,High
11,12,3757,33,High
3,0,11061,80,High
18,10,2174,66,High
20,9,26229,17,High
1,8,18569,7,Medium
7,4,20502,16,High
20,3,2172,51,High
16,9,13181,73,High
3,9,21955,58,High
7,15,21714,31,High
11,13,11139,43,High
5,15,4911,21,High
8,9,1282,51,High
12,12,3652,73,High
11,13,5208,33,High
8,3,25045,3,High
20,12,16449,4,High
14,8,2500,52,High
18,11,6961,79,High
8,7,18296,14,Medium
19,9,10944,11,Medium
17,7,7542,37,Medium
7,9,18255,11,Medium
3,11,16110,38,High
18,1,9132,7,Low
10,12,23689,47,High
7,5,12601,77,High
8,15,21078,80,High
10,6,18195,65,High
12,2,24760,53,High
3,13,5438,37,High
11,3,21823,37,High
15,13,14759,25,High
9,1,5221,28,Medium
13,8,10282,64,High
11,12,2954,20,High
18,9,7602,39,Medium
10,9,24855,78,High
11,4,3305,36,Medium
20,12,8309,68,High
15,12,6564,46,High
1,8,8240,78,High
7,13,25099,27,High
15,0,26391,14,High
6,8,22293,31,High
2,11,2418,65,High
8,0,7354,7,Low
4,0,20731,26,High
15,15,14196,4,High
19,1,18967,65,High
4,6,7111,5,Medium
20,6,2128,14,Medium
9,3,9362,26,Medium
17,13,27764,55,High
7,7,13841,52,High
18,15,5021,12,High
19,0,26694,61,High
15,11,14134,31,High
15,14,8762,33,High
8,0,23322,62,High
7,0,24149,27,High
18,7,9813,2,Medium
17,6,7753,48,Medium
10,5,3863,71,High
12,10,19376,54,High
1,14,12496,39,High
20,11,26046,28,High
12,2,11694,34,Medium
7,3,17366,21,Low
16,15,12589,66,High
1,0,28932,33,High
4,12,14205,37,High
20,14,10243,66,High
1,13,15796,69,High
9,1,16952,62,High
11,7,21438,8,High
4,6,9876,32,Medium
10,0,10961,5,Low
5,12,15004,80,High
16,4,3950,27,Medium
5,2,29503,63,High
8,11,27373,28,High
3,15,23531,14,High
11,3,22360,17,High
17,14,16022,21,High
15,6,9250,55,High
6,6,1371,21,Medium
